field_goals_attempted,field_goal_percentage,field_goal_3_attempted,field_goal_3_percentage,free_throws_made,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,points_allowed,points
106,0.453,41,0.341,21,15,38,26,6.0,3,17,136.0,131
96,0.552,43,0.488,16,12,41,33,1.0,5,15,138.0,143
95,0.337,49,0.265,24,14,32,23,9.0,2,14,118.0,101
86,0.535,32,0.375,8,6,30,25,9.0,4,17,118.0,112
99,0.323,35,0.257,15,16,27,20,6.0,8,17,127.0,88
84,0.548,42,0.429,19,5,31,34,7.0,5,18,117.0,129
97,0.515,39,0.487,22,15,37,32,8.0,4,8,118.0,141
94,0.447,36,0.361,23,9,33,30,5.0,5,9,130.0,120
97,0.412,38,0.211,24,14,30,19,5.0,2,13,129.0,112
98,0.439,37,0.216,17,13,40,27,9.0,4,10,107.0,111
85,0.482,35,0.457,31,6,35,22,8.0,6,16,124.0,129
84,0.429,34,0.382,20,9,29,24,11.0,5,17,127.0,105
88,0.534,37,0.432,16,4,27,33,5.0,5,12,135.0,126
108,0.454,40,0.35,28,11,39,29,9.0,8,14,135.0,140
86,0.407,39,0.333,24,12,34,21,7.0,8,14,112.0,107
82,0.524,32,0.406,28,7,37,23,7.0,4,19,120.0,127
84,0.5,30,0.4,19,6,26,22,9.0,6,17,123.0,115
91,0.407,33,0.303,16,10,40,19,6.0,4,11,123.0,100
87,0.483,35,0.314,32,10,38,29,5.0,4,16,117.0,127
92,0.446,47,0.255,20,10,34,28,10.0,2,18,130.0,114
99,0.434,46,0.326,12,13,29,26,7,2,10,125.0,113
93,0.452,38,0.316,25,13,37,29,7,4,11,108.0,121
82,0.476,40,0.35,17,12,34,28,3,5,19,112.0,109
85,0.482,26,0.346,26,10,40,27,8,3,14,106.0,117
72,0.5,28,0.357,19,6,35,19,5,3,20,106.0,101
88,0.443,42,0.357,21,6,31,24,9,6,10,117.2,114
86,0.407,38,0.237,13,10,34,19,12,5,10,87.0,92
100,0.44,46,0.413,15,14,44,32,5,4,15,125.0,122
77,0.494,34,0.324,24,4,41,23,5,6,11,89.0,111
75,0.44,35,0.2,20,6,39,18,6,2,14,100.0,93
83,0.47,29,0.31,16,7,37,21,6,7,14,104.0,103
76,0.421,38,0.395,23,4,40,18,6,9,17,99.0,102
83,0.47,39,0.436,17,5,45,25,8,4,22,94.0,112
82,0.463,35,0.343,22,10,32,19,4,5,14,106.0,110
87,0.414,31,0.258,22,3,42,15,7,8,10,94.0,102
86,0.512,43,0.442,21,10,33,20,4,5,6,101.0,128
90,0.422,31,0.323,23,16,27,22,12,4,7,101.0,109
88,0.398,35,0.229,12,13,38,22,8,7,18,96.0,90
86,0.512,37,0.432,18,10,36,29,7,7,12,107.0,122
102,0.441,40,0.3,20,13,41,32,9,7,12,119.0,122
80,0.5,24,0.25,17,9,26,29,9,5,18,108.0,103
94,0.457,34,0.382,33,14,46,26,4,4,18,129.0,132
76,0.553,28,0.429,8,8,31,32,8,2,21,102.0,104
89,0.438,38,0.342,15,17,33,24,6,2,12,112.0,106
91,0.462,41,0.415,12,11,25,28,10,1,6,126.0,113
85,0.482,22,0.227,17,6,30,30,9,3,13,113.0,104
95,0.453,31,0.355,7,10,24,27,7,2,14,116.0,104
78,0.526,24,0.458,15,9,39,24,5,4,18,94.0,108
97,0.443,37,0.378,25,13,40,25,8,6,12,119.0,125
79,0.481,36,0.361,16,11,29,29,8,2,24,124.0,105
81,0.531,27,0.407,16,10,37,19,3,6,21,108.0,113
94,0.511,28,0.357,21,17,38,25,8,6,17,105.0,127
95,0.368,33,0.212,15,16,29,22,9,1,16,133.0,92
89,0.461,38,0.395,6,9,36,31,4,2,19,109.0,103
92,0.565,35,0.514,12,5,29,34,6,3,14,139.0,134
95,0.432,44,0.364,14,13,33,26,8,3,15,131.0,112
90,0.467,36,0.361,12,15,37,23,7,3,21,115.0,109
97,0.433,34,0.324,16,14,32,25,7,2,11,125.0,111
96,0.5,24,0.375,10,11,34,25,9,6,13,100.0,115
84,0.5,30,0.433,9,11,32,30,5,1,21,118.0,106
87,0.552,34,0.294,21,9,31,22,6,4,13,133.0,127
82,0.512,24,0.292,15,5,29,25,8,6,19,112.0,106
96,0.438,30,0.4,17,16,32,30,5,5,19,122.0,113
88,0.477,35,0.343,22,11,34,25,7,8,18,107.0,118
82,0.573,34,0.412,17,5,25,31,4,3,17,140.0,125
82,0.451,29,0.379,24,8,41,25,7,1,14,99.0,109
85,0.447,30,0.3,18,9,39,24,4,1,18,126.0,103
94,0.426,31,0.355,13,15,30,22,12,2,20,106.0,104
92,0.457,47,0.362,23,6,33,22,9,4,11,103.0,124
83,0.506,36,0.417,20,6,37,37,9,5,18,104.0,119
79,0.468,32,0.406,12,5,34,24,8,8,12,75.6,99
90,0.489,35,0.314,21,10,44,28,7,5,25,107.0,120
91,0.418,38,0.368,20,15,38,28,7,6,17,104.0,110
114,0.439,46,0.37,6,15,37,28,8,4,14,127.0,123
100,0.52,39,0.359,16,13,31,37,13,2,15,139.0,134
95,0.421,32,0.219,27,15,37,24,7,3,16,122.0,114
88,0.545,23,0.391,11,12,37,36,12,8,16,104.0,116
86,0.453,27,0.296,23,6,39,31,10,2,20,118.0,109
98,0.469,42,0.405,6,14,38,34,7,5,13,101.0,115
84,0.536,34,0.529,20,9,37,36,8,3,17,115.0,128
84,0.5,34,0.353,12,14,32,23,8,6,21,103.0,108
92,0.424,34,0.353,17,5,26,23,14,3,7,110.0,107
97,0.412,38,0.237,13,17,28,27,12,6,17,108.0,102
94,0.479,30,0.367,7,9,31,24,10,5,10,115.0,108
94,0.468,36,0.278,11,12,30,24,7,5,14,107.0,109
89,0.461,35,0.486,16,13,20,26,12,3,8,125.0,115
97,0.536,31,0.387,6,13,26,22,6,4,11,124.0,122
81,0.556,37,0.486,18,10,27,27,15,4,26,117.0,126
83,0.434,38,0.368,18,11,27,18,11,7,25,112.0,104
87,0.425,31,0.226,12,12,26,24,12,3,13,103.0,93
92,0.478,39,0.41,10,10,34,25,9,4,20,126.0,114
88,0.489,32,0.375,13,14,28,23,8,3,18,118.0,111
93,0.495,29,0.448,14,11,29,25,11,1,15,125.0,119
90,0.389,48,0.313,17,17,24,25,10,0,16,129.0,102
86,0.488,34,0.353,22,11,27,27,7,3,13,133.0,118
85,0.529,33,0.182,10,6,28,26,10,3,18,115.0,106
93,0.452,37,0.378,12,14,36,28,8,2,9,109.0,110
85,0.518,33,0.364,18,7,29,24,15,2,9,106.0,118
79,0.392,37,0.216,11,8,35,23,6,4,19,98.0,81
84,0.464,30,0.3,30,12,38,21,9,2,12,110.0,117
90,0.422,37,0.297,10,8,34,20,5,3,12,111.0,97
85,0.447,37,0.324,23,7,24,19,8,6,13,154.0,111
104,0.5,36,0.361,18,11,43,20,7,5,11,133.0,135
87,0.506,43,0.395,17,7,35,27,5,2,9,130.0,122
88,0.5,29,0.448,26,8,41,25,5,4,9,114.0,127
81,0.457,43,0.349,21,5,36,18,9,2,21,118.0,110
89,0.438,26,0.308,16,11,32,17,3,4,11,128.0,102
81,0.519,44,0.455,27,5,32,28,4,5,17,134.0,131
85,0.565,24,0.5,14,4,30,29,6,3,8,114.0,122
115,0.417,53,0.321,23,11,43,37,6,2,6,132.0,136
87,0.448,48,0.354,16,8,29,24,3,4,7,126.0,111
90,0.367,41,0.22,39,17,44,22,4,2,17,110.0,114
93,0.409,31,0.194,33,10,39,22,8,5,8,117.0,115
105,0.476,49,0.429,28,13,42,30,7,4,20,153.0,149
102,0.402,41,0.293,24,12,44,22,6,4,12,115.0,118
90,0.433,38,0.395,18,7,37,27,5,4,12,118.0,111
74,0.541,38,0.368,14,8,29,21,3,4,14,104.0,108
92,0.457,35,0.343,17,13,39,23,9,2,10,97.0,113
92,0.457,44,0.386,8,7,35,23,8,3,14,119.0,109
91,0.429,43,0.326,17,9,33,19,7,5,10,112.0,109
90,0.422,30,0.267,23,9,27,23,5,2,11,117.0,107
77,0.506,28,0.357,20,6,27,22,4,3,11,114.0,108
73,0.548,29,0.379,23,9,35,26,8,2,18,106.0,114
74,0.473,24,0.333,25,7,24,22,12,4,19,105.0,103
83,0.494,26,0.346,23,9,28,23,3,2,16,126.0,114
77,0.494,37,0.351,15,11,42,22,4,5,20,89.0,104
74,0.541,25,0.48,19,6,35,26,8,3,14,98.0,111
81,0.481,27,0.444,21,6,38,20,7,5,11,105.0,111
68,0.397,27,0.333,22,5,33,19,4,5,14,96.0,85
94,0.468,34,0.324,8,8,28,32,10,0,12,113.0,107
91,0.451,40,0.375,13,14,31,18,9,8,12,101.0,110
83,0.422,36,0.25,18,12,28,20,9,5,15,120.0,97
83,0.373,31,0.258,10,8,38,21,7,4,10,78.0,80
71,0.549,36,0.5,23,7,36,22,8,4,15,107.0,119
85,0.506,35,0.457,15,5,33,22,4,5,9,107.0,117
100,0.49,44,0.386,12,17,23,25,2,4,6,129.0,127
88,0.375,38,0.316,9,16,29,20,2,5,17,124.0,87
81,0.457,27,0.481,18,13,28,22,1,4,10,124.0,105
95,0.516,41,0.537,15,8,33,23,10,6,11,125.0,135
87,0.414,38,0.421,21,9,32,27,9,11,15,117.0,109
79,0.468,38.0,0.289,22,4.0,31.0,25,3,0,9,131.0,107
80,0.55,25.0,0.36,21,7.0,28.0,30,4,2,7,114.0,118
98,0.408,52.0,0.269,19,14.0,38.0,34,4,5,15,121.0,113
82,0.512,41.0,0.439,14,5.0,30.0,31,8,3,11,100.0,116
89,0.472,28.0,0.321,17,18.0,34.0,25,7,7,21,124.0,110
87,0.471,30.0,0.3,24,13.0,36.0,30,9,6,10,99.0,115
80,0.425,32.0,0.281,9,5.0,32.0,27,7,3,26,116.0,86
79,0.443,28.0,0.143,20,5.0,29.0,21,7,2,16,112.0,94
92,0.435,35.0,0.314,10,11.0,37.0,28,9,7,13,115.0,101
89,0.494,33.0,0.212,10,13.0,27.0,26,11,7,21,135.0,105
77,0.506,31.0,0.355,17,4.0,34.0,27,8,7,22,112.0,106
77,0.39,34.0,0.324,30,6.0,34.0,23,8,2,15,113.0,101
89,0.517,32.0,0.406,15,8.0,25.0,31,15,6,18,125.0,120
96,0.365,39.0,0.128,13,7.0,27.0,20,6,7,7,129.0,88
87,0.494,30.0,0.5,24,12.0,32.0,31,8,6,14,117.0,125
90,0.533,35.0,0.514,17,10.0,34.0,39,11,10,11,112.0,131
77,0.429,39.0,0.308,26,3.0,27.0,24,11,6,16,119.0,104
87,0.425,40.0,0.375,15,6.0,34.0,29,6,3,13,115.0,104
82,0.488,39.0,0.487,19,7.0,31.0,31,6,3,20,129.0,118
88,0.398,23.0,0.261,20,11.0,26.0,20,5,5,8,129.0,96
89,0.371,49,0.265,17,9,22,18,6,3,12,119.0,96
65,0.431,33,0.424,30,1,25,24,10,6,16,110.0,100
81,0.469,30,0.4,14,6,24,23,8,1,9,112.0,102
78,0.449,53,0.415,17,8,27,22,7,2,17,117.0,109
81,0.481,39,0.359,20,4,37,19,13,3,14,97.0,112
88,0.398,49,0.347,17,11,33,18,11,7,12,102.0,104
84,0.452,44,0.341,9,4,37,19,14,5,22,104.0,100
100,0.43,48,0.396,9,10,45,28,12,3,11,80.2,114
91,0.451,58,0.397,9,8,32,25,7,2,14,117.0,114
92,0.413,50,0.3,16,4,42,14,9,6,16,119.0,107
91,0.418,56,0.339,16,11,30,21,8,3,7,98.0,111
89,0.483,52,0.385,17,4,32,25,4,1,7,108.0,123
80,0.438,48,0.25,14,1,26,25,10,9,17,134.0,96
86,0.372,57,0.281,24,6,43,20,8,6,20,108.0,104
89,0.404,48,0.292,19,4,33,18,14,3,18,123.0,105
91,0.473,57,0.316,25,8,40,21,9,3,15,112.0,129
84,0.429,57,0.368,20,4,30,26,11,5,19,97.0,113
87,0.391,53,0.358,15,5,34,24,7,3,10,110.0,102
91,0.396,61,0.344,27,6,30,22,15,3,9,116.0,120
101,0.515,48,0.396,30,7,36,26,12,10,9,149.0,153
90,0.378,35,0.257,12,12,25,21,8,3,10,104.0,89
78,0.41,27,0.37,24,9,28,20,10,4,13,111.0,98
88,0.42,42,0.381,15,10,31,22,6,5,9,111.0,105
79,0.418,28,0.286,22,9,32,19,7,5,9,85.0,96
75,0.547,31,0.355,20,3,38,23,7,4,17,107.0,113
88,0.409,32,0.281,20,19,33,20,9,4,17,110.0,101
84,0.571,24,0.417,14,9,36,23,7,3,14,97.0,120
91,0.484,29,0.379,12,8,44,22,8,2,13,97.0,111
84,0.631,35,0.629,26,8,41,28,5,4,15,111.0,154
97,0.464,38,0.368,29,8,33,19,7,5,9,135.0,133
90,0.522,34,0.412,22,8,36,24,7,4,7,122.0,130
84,0.44,34,0.294,30,9,38,16,4,2,15,127.0,114
95,0.474,38,0.342,15,11,34,18,12,3,11,110.0,118
85,0.4,37,0.324,27,12,49,23,10,2,20,103.0,107
85,0.541,37,0.378,18,6,34,29,11,1,7,111.0,124
93,0.484,36,0.361,17,10,29,23,8,2,10,129.0,120
85,0.494,34,0.441,23,9,36,24,5,2,14,117.0,122
92,0.543,31,0.452,12,9,36,22,3,3,6,111.0,126
85,0.494,29,0.276,23,8,40,21,2,3,10,117.0,115
87,0.425,47,0.532,27,8,40,23,10,2,10,103.0,126
89,0.483,35,0.314,9,12,34,23,5,4,12,93.0,106
82,0.463,38,0.368,18,12,29,21,10,5,15,111.0,108
79,0.443,39,0.359,18,10,32,25,5,4,15,96.0,102
79,0.43,42,0.333,22,11,32,23,8,2,19,115.0,104
97,0.505,47,0.34,10,16,28,32,6,3,9,114.0,124
84,0.452,38,0.395,25,9,45,26,7,8,12,98.0,116
77,0.545,24,0.375,24,5,38,24,6,8,13,107.0,117
80,0.475,30,0.333,28,12,29,23,9,2,9,108.0,114
83,0.518,26,0.231,14,4,21,27,11,3,16,114.0,106
83,0.446,36,0.361,18,13,31,23,9,7,23,103.0,105
83,0.53,26,0.423,27,10,24,33,10,6,11,114.0,126
74,0.527,37,0.514,22,6,44,25,5,7,19,96.0,119
88,0.489,30,0.3,15,12,40,30,9,4,16,100.0,110
78,0.551,30,0.333,16,9,34,25,6,6,13,102.0,112
83,0.566,27,0.444,11,9,32,30,11,5,15,109.0,117
83,0.422,38,0.289,16,10,31,18,8,9,15,112.0,97
88,0.545,36,0.389,21,7,34,27,11,5,17,122.0,131
87,0.563,39,0.436,20,12,29,29,7,9,14,115.0,135
78,0.5,30,0.333,28,12,43,26,6,8,17,108.0,116
92,0.478,38,0.368,9,14,36,26,9,3,14,88.0,111
79,0.443,28,0.357,13,9,32,25,4,4,13,106.0,93
83,0.458,33,0.424,21,9,26,26,7,3,13,108.0,111
75,0.427,32,0.344,21,7,32,18,8,3,11,102.0,96
80,0.513,34,0.353,21,3,34,25,8,3,12,104.0,115
71,0.507,27,0.407,31,6,31,29,2,1,9,124.0,114
89,0.427,35,0.314,11,5,31,23,4,5,8,116.0,98
80,0.563,27,0.481,22,2,38,30,6,2,12,113.0,125
86,0.453,36,0.194,23,6,32,27,3,5,12,121.0,108
91,0.429,37,0.27,24,10,30,20,9,2,8,109.0,112
85,0.388,44,0.273,28,12,30,21,5,8,13,117.0,106
90,0.444,43,0.326,12,11,27,27,11,2,9,101.0,106
85,0.471,36,0.444,21,7,34,32,6,6,12,114.0,117
73,0.479,31,0.355,22,5,43,21,6,7,21,94.0,103
90,0.444,47,0.362,18,6,35,33,8,1,15,118.0,115
78,0.449,47,0.383,27,9,40,27,3,6,11,100.0,115
81,0.457,45,0.378,25,7,31,22,12,4,10,114.0,116
84,0.464,31,0.387,25,12,34,21,8,2,16,104.0,115
91,0.44,30,0.267,11,17,43,24,8,4,13,87.0,99
75,0.453,33,0.394,43,7,39,23,10,2,16,115.0,124
76,0.474,35,0.514,19,7,34,27,9,4,16,100.0,109
91,0.363,33,0.273,19,13,28,20,7,5,11,103.0,94
92,0.489,35,0.314,17,9,37,25,10,4,12,115.0,118
88,0.42,37,0.297,15,8,36,23,8,5,10,115.0,100
85,0.435,25,0.28,33,17,33,16,6,2,14,116.0,114
75,0.493,35,0.457,14,7,27,22,6,7,19,115.0,104
88,0.455,45,0.356,22,7,49,27,5,4,14,104.0,118
91,0.495,41,0.415,14,8,41,29,7,5,12,106.0,121
82,0.561,37,0.459,12,3,40,27,12,3,18,107.0,121
89,0.472,41,0.366,12,11,46,26,5,4,20,96.0,111
90,0.433,42,0.333,18,11,36,28,6,3,16,122.0,110
98,0.398,41,0.317,15,9,36,27,8,3,15,119.0,106
87,0.506,38,0.474,20,9,44,25,6,0,14,113.0,126
84,0.393,43,0.326,26,11,38,25,4,6,19,114.0,106
99,0.475,44,0.341,23,9,46,26,3,9,13,136.0,132
78,0.526,37,0.405,33,5,39,27,7,3,14,116.0,130
88,0.477,51,0.333,15,7,47,28,3,5,18,119.0,116
92,0.489,35,0.257,17,17,48,21,6,6,22,120.0,116
84,0.464,41,0.317,28,7,40,25,9,7,15,112.0,119
81,0.395,38,0.263,29,10,41,18,7,3,21,124.0,103
82,0.488,45,0.444,31,7,47,29,7,7,23,123.0,131
83,0.482,35,0.4,17,8,33,21,9,0,18,117.0,111
94,0.394,33,0.242,25,9,33,20,15,3,17,120.0,107
98,0.469,37,0.27,16,10,26,30,6,3,8,132.0,118
81,0.494,43,0.442,16,10,33,27,5,4,17,108.0,115
97,0.557,34,0.412,17,10,32,31,11,2,16,134.0,139
99,0.364,42,0.31,6,14,43,19,9,3,13,111.0,91
95,0.484,44,0.386,16,6,27,27,10,6,15,136.0,125
91,0.516,46,0.37,18,5,28,28,16,8,16,126.0,129
95,0.442,42,0.357,24,7,35,16,4,6,11,139.0,123
90,0.444,40,0.35,22,9,29,26,7,2,15,128.0,116
89,0.404,42,0.357,30,8,35,23,8,10,8,127.0,117
101,0.386,49,0.286,16,14,34,25,10,7,11,115.0,108
86,0.453,40,0.45,30,10,28,24,6,4,23,137.0,126
95,0.547,44,0.591,12,9,37,39,8,3,12,115.0,142
91,0.495,35,0.257,21,6,27,18,13,7,16,127.0,120
85,0.435,38,0.342,22,14,31,25,12,6,16,113.0,109
84,0.405,39,0.179,31,6,38,24,9,4,17,118.0,106
89,0.483,46,0.5,20,10,35,29,7,8,20,133.0,129
90,0.444,43,0.279,12,7,34,33,9,4,13,113.0,104
98,0.49,32,0.344,17,13,38,28,8,8,17,131.0,124
98,0.398,50,0.38,25,12,32,21,5,6,14,150.0,122
90,0.333,51,0.314,16,9,33,24,8,4,13,117.0,92
85,0.388,41,0.341,19,7,39,25,3,6,17,104.0,99
92,0.467,42,0.31,11,9,36,33,4,2,14,134.0,110
96,0.552,33,0.424,13,12,34,28,5,5,14,134.0,133
89,0.427,43,0.302,19,8,39,26,9,4,13,96.0,108
85,0.553,43,0.465,15,8,38,32,5,5,16,120.0,129
86,0.488,40,0.425,18,7,37,30,9,3,9,106.0,119
95,0.474,32,0.25,17,7,27,23,9,2,17,149.0,115
103,0.417,57,0.368,12,7,35,30,5,6,7,116.0,119
90,0.422,33,0.333,31,13,35,23,5,4,11,110.0,118
91,0.484,42,0.31,17,10,29,30,4,2,14,128.0,118
92,0.457,28,0.357,13,8,37,27,13,6,12,112.0,107
95,0.432,44,0.318,28,8,37,27,14,4,11,119.0,124
